Domain,Problem,CFA,Planner,Tool,Planning Results (%),Makespan (s),Number of Actions,Processing Time (s),Memory Usage (GB)
blocks_world,P03C01,DynamicProgramming,colin2,ObjectTime,124,-1,-1,3602,97.7102851868
blocks_world,P03C02,DynamicProgramming,colin2,ObjectTime,0,52.052,62,112,2.62971496582
blocks_world,P03C03,DynamicProgramming,colin2,ObjectTime,134,-1,-1,1788,119.927619934
blocks_world,P03C04,DynamicProgramming,colin2,ObjectTime,1,-1,-1,311,12.0403823853
blocks_world,P03C05,DynamicProgramming,colin2,ObjectTime,0,74.085,105,66,1.01170349121
blocks_world,P03C06,DynamicProgramming,colin2,ObjectTime,0,101.098,112,1549,47.5654678345
blocks_world,P03C07,DynamicProgramming,colin2,ObjectTime,134,-1,-1,1554,119.918964386
blocks_world,P03C08,DynamicProgramming,colin2,ObjectTime,0,63.062,76,466,10.1735839844
blocks_world,P03C09,DynamicProgramming,colin2,ObjectTime,0,106.102,120,1381,39.3776359558
blocks_world,P03C10,DynamicProgramming,colin2,ObjectTime,0,77.084,97,1113,34.1925735474
blocks_world,P04C01,DynamicProgramming,colin2,ObjectTime,124,-1,-1,3600,97.9307937622
blocks_world,P04C02,DynamicProgramming,colin2,ObjectTime,124,-1,-1,3601,53.2139129639
blocks_world,P04C03,DynamicProgramming,colin2,ObjectTime,134,-1,-1,3210,119.987220764
blocks_world,P04C04,DynamicProgramming,colin2,ObjectTime,124,-1,-1,3601,57.2632598877
blocks_world,P04C05,DynamicProgramming,colin2,ObjectTime,134,-1,-1,1818,119.981395721
blocks_world,P04C06,DynamicProgramming,colin2,ObjectTime,0,49.042,58,19,0.190254211426
blocks_world,P04C07,DynamicProgramming,colin2,ObjectTime,0,47.041,61,143,1.44834136963
blocks_world,P04C08,DynamicProgramming,colin2,ObjectTime,1,-1,-1,209,6.00660324097
blocks_world,P04C09,DynamicProgramming,colin2,ObjectTime,0,62.051,54,23,0.287181854248
blocks_world,P04C10,DynamicProgramming,colin2,ObjectTime,0,66.054,61,263,1.04280853271
blocks_world,P05C01,DynamicProgramming,colin2,ObjectTime,0,39.046,59,410,25.7515106201
blocks_world,P05C02,DynamicProgramming,colin2,ObjectTime,134,-1,-1,1491,119.962219238
blocks_world,P05C03,DynamicProgramming,colin2,ObjectTime,1,-1,-1,196,13.0488243103
blocks_world,P05C04,DynamicProgramming,colin2,ObjectTime,0,60.062,66,84,6.1837310791
blocks_world,P05C05,DynamicProgramming,colin2,ObjectTime,0,45.056,70,212,15.1169090271
blocks_world,P05C06,DynamicProgramming,colin2,ObjectTime,1,-1,-1,103,3.68394851685
blocks_world,P05C07,DynamicProgramming,colin2,ObjectTime,134,-1,-1,3098,119.986129761
blocks_world,P05C08,DynamicProgramming,colin2,ObjectTime,0,58.065,79,17,0.921043395996
blocks_world,P05C09,DynamicProgramming,colin2,ObjectTime,134,-1,-1,2698,119.977088928
blocks_world,P05C10,DynamicProgramming,colin2,ObjectTime,134,-1,-1,2822,119.954204559
blocks_world,P06C01,DynamicProgramming,colin2,ObjectTime,0,36.042,50,6,0.064567565918
blocks_world,P06C02,DynamicProgramming,colin2,ObjectTime,0,37.038,51,5,0.0649909973145
blocks_world,P06C03,DynamicProgramming,colin2,ObjectTime,124,-1,-1,3603,112.909259796
blocks_world,P06C04,DynamicProgramming,colin2,ObjectTime,0,32.033,46,4,0.0493049621582
blocks_world,P06C05,DynamicProgramming,colin2,ObjectTime,0,56.061,68,103,4.0428352356
blocks_world,P06C06,DynamicProgramming,colin2,ObjectTime,1,-1,-1,2,0.0471305847168
blocks_world,P06C07,DynamicProgramming,colin2,ObjectTime,1,-1,-1,2,0.0386123657227
blocks_world,P06C08,DynamicProgramming,colin2,ObjectTime,0,41.044,54,60,1.02275466919
blocks_world,P06C09,DynamicProgramming,colin2,ObjectTime,1,-1,-1,834,16.9204444885
blocks_world,P06C10,DynamicProgramming,colin2,ObjectTime,1,-1,-1,18,0.221202850342
blocks_world,P07C01,DynamicProgramming,colin2,ObjectTime,0,58.069,83,362,14.5546455383
blocks_world,P07C02,DynamicProgramming,colin2,ObjectTime,0,42.050,64,121,2.93194580078
blocks_world,P07C03,DynamicProgramming,colin2,ObjectTime,0,65.066,77,7,0.0593566894531
blocks_world,P07C04,DynamicProgramming,colin2,ObjectTime,134,-1,-1,2249,119.98217392
blocks_world,P07C05,DynamicProgramming,colin2,ObjectTime,0,53.073,89,64,3.55687713623
blocks_world,P07C06,DynamicProgramming,colin2,ObjectTime,124,-1,-1,3602,80.676612854
blocks_world,P07C07,DynamicProgramming,colin2,ObjectTime,134,-1,-1,3136,119.984714508
blocks_world,P07C08,DynamicProgramming,colin2,ObjectTime,0,38.038,53,15,0.141376495361
blocks_world,P07C09,DynamicProgramming,colin2,ObjectTime,1,-1,-1,49,0.537101745605
blocks_world,P07C10,DynamicProgramming,colin2,ObjectTime,0,51.055,69,21,0.190719604492
blocks_world,P08C01,DynamicProgramming,colin2,ObjectTime,134,-1,-1,2900,119.948822021
blocks_world,P08C02,DynamicProgramming,colin2,ObjectTime,124,-1,-1,3600,25.7932853699
blocks_world,P08C03,DynamicProgramming,colin2,ObjectTime,124,-1,-1,3603,114.173175812
blocks_world,P08C04,DynamicProgramming,colin2,ObjectTime,0,86.112,140,1145,43.6214637756
blocks_world,P08C05,DynamicProgramming,colin2,ObjectTime,134,-1,-1,2679,119.938999176
blocks_world,P08C06,DynamicProgramming,colin2,ObjectTime,134,-1,-1,3192,119.986778259
blocks_world,P08C07,DynamicProgramming,colin2,ObjectTime,1,-1,-1,2353,38.6444129944
blocks_world,P08C08,DynamicProgramming,colin2,ObjectTime,134,-1,-1,3586,119.952865601
blocks_world,P08C09,DynamicProgramming,colin2,ObjectTime,124,-1,-1,3602,62.259437561
blocks_world,P08C10,DynamicProgramming,colin2,ObjectTime,134,-1,-1,3466,119.97574234
blocks_world,P09C01,DynamicProgramming,colin2,ObjectTime,0,45.045,63,75,2.65337371826
blocks_world,P09C02,DynamicProgramming,colin2,ObjectTime,1,-1,-1,8,0.132869720459
blocks_world,P09C03,DynamicProgramming,colin2,ObjectTime,0,54.048,52,2386,73.2796363831
blocks_world,P09C04,DynamicProgramming,colin2,ObjectTime,1,-1,-1,1,0.0301361083984
blocks_world,P09C05,DynamicProgramming,colin2,ObjectTime,0,64.063,68,8,0.26566696167
blocks_world,P09C06,DynamicProgramming,colin2,ObjectTime,1,-1,-1,3,0.0463943481445
blocks_world,P09C07,DynamicProgramming,colin2,ObjectTime,1,-1,-1,4,0.0489921569824
blocks_world,P09C08,DynamicProgramming,colin2,ObjectTime,0,46.043,48,170,5.28506851196
blocks_world,P09C09,DynamicProgramming,colin2,ObjectTime,0,37.036,43,5,0.0496063232422
blocks_world,P09C10,DynamicProgramming,colin2,ObjectTime,124,-1,-1,3602,97.7929039001
blocks_world,P10C01,DynamicProgramming,colin2,ObjectTime,0,37.042,60,50,1.50688171387
blocks_world,P10C02,DynamicProgramming,colin2,ObjectTime,0,26.031,40,358,12.5646324158
blocks_world,P10C03,DynamicProgramming,colin2,ObjectTime,134,-1,-1,1651,119.910385132
blocks_world,P10C04,DynamicProgramming,colin2,ObjectTime,134,-1,-1,1928,119.963924408
blocks_world,P10C05,DynamicProgramming,colin2,ObjectTime,0,35.041,57,104,4.38201904297
blocks_world,P10C06,DynamicProgramming,colin2,ObjectTime,0,24.024,29,2,0.0444183349609
blocks_world,P10C07,DynamicProgramming,colin2,ObjectTime,0,32.031,43,2,0.0401802062988
blocks_world,P10C08,DynamicProgramming,colin2,ObjectTime,124,-1,-1,3603,100.382339478
